trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,isSaccade,blankDurationInFrameCount
0,0,R,0,,0.377,invalid,invalid,True,4.0
1,0,R,400,,0.217,invalid,invalid,False,4.0
2,0,L,400,,0.229,LeftResponse,correct,True,4.0
3,0,R,100,,0.316,RightResponse,correct,True,4.0
4,0,L,100,,0.394,RightResponse,incorrect,False,3.0
5,0,R,50,,0.29,RightResponse,correct,True,4.0
6,0,L,0,,0.285,invalid,invalid,True,4.0
7,0,R,100,,0.342,RightResponse,correct,False,3.0
8,0,R,200,,0.377,LeftResponse,incorrect,False,4.0
9,0,R,0,,0.359,RightResponse,correct,True,4.0
10,0,R,50,,0.241,RightResponse,correct,True,3.0
11,0,L,200,,0.277,RightResponse,incorrect,False,4.0
12,0,R,400,,0.214,invalid,invalid,True,3.0
13,0,R,0,,0.392,RightResponse,correct,False,3.0
14,0,R,100,,0.278,RightResponse,correct,True,3.0
15,0,L,50,,0.358,invalid,invalid,True,2.0
16,0,L,0,,0.202,LeftResponse,correct,False,3.0
17,0,L,0,,0.229,RightResponse,incorrect,False,3.0
18,0,L,200,,0.314,RightResponse,incorrect,False,4.0
19,0,L,0,,0.272,RightResponse,incorrect,False,3.0
20,0,R,50,,0.23,LeftResponse,incorrect,True,2.0
21,0,R,400,,0.345,RightResponse,correct,False,3.0
22,0,R,200,,0.294,RightResponse,correct,False,4.0
23,0,R,200,,0.295,LeftResponse,incorrect,True,4.0
24,0,L,400,,0.39,RightResponse,incorrect,True,3.0
25,0,R,0,,0.268,LeftResponse,incorrect,True,3.0
26,0,L,50,,0.344,RightResponse,incorrect,False,5.0
27,0,R,50,,0.398,RightResponse,correct,True,5.0
28,0,L,400,,0.241,RightResponse,incorrect,True,6.0
29,0,L,100,,0.215,LeftResponse,correct,False,2.0
30,0,L,50,,0.381,RightResponse,incorrect,False,4.0
31,0,R,100,,0.257,RightResponse,correct,False,2.0
32,0,L,200,,0.24,LeftResponse,correct,False,7.0
33,0,R,200,,0.254,RightResponse,correct,True,7.0
34,0,L,200,,0.251,LeftResponse,correct,True,6.0
35,0,L,100,,0.201,RightResponse,incorrect,False,2.0
36,0,L,100,,0.262,LeftResponse,correct,False,2.0
37,0,L,50,,0.339,RightResponse,incorrect,True,4.0
38,0,L,400,,0.366,RightResponse,incorrect,False,9.0
39,0,R,400,,0.288,RightResponse,correct,False,9.0
40,1,L,0,,0.375,RightResponse,incorrect,True,6.0
41,1,L,100,,0.253,LeftResponse,correct,True,2.0
42,1,R,200,,0.301,RightResponse,correct,True,5.0
43,1,L,400,,0.398,LeftResponse,correct,True,9.0
44,1,R,400,,0.313,RightResponse,correct,True,8.0
45,1,R,400,,0.339,RightResponse,correct,True,7.0
46,1,R,50,,0.337,RightResponse,correct,True,7.0
47,1,L,200,,0.282,RightResponse,incorrect,True,4.0
48,1,L,400,,0.206,RightResponse,incorrect,True,6.0
49,1,R,0,,0.219,RightResponse,correct,True,9.0
50,1,L,100,,0.332,RightResponse,incorrect,False,1.0
51,1,L,50,,0.246,RightResponse,incorrect,True,6.0
52,1,L,50,,0.332,LeftResponse,correct,True,9.0
53,1,R,0,,0.204,RightResponse,correct,False,8.0
54,1,R,200,,0.313,RightResponse,correct,True,7.0
55,1,R,400,,0.302,RightResponse,correct,False,9.0
56,1,L,50,,0.305,LeftResponse,correct,True,8.0
57,1,R,200,,0.265,RightResponse,correct,True,6.0
58,1,R,400,,0.35,LeftResponse,incorrect,True,9.0
59,1,L,100,,0.348,RightResponse,incorrect,True,1.0
60,1,L,400,,0.369,LeftResponse,correct,True,12.0
61,1,L,0,,0.376,LeftResponse,correct,True,8.0
62,1,L,200,,0.284,LeftResponse,correct,True,5.0
63,1,L,0,,0.223,RightResponse,incorrect,True,7.0
64,1,L,50,,0.35,LeftResponse,correct,True,7.0
65,1,R,100,,0.362,RightResponse,correct,True,4.0
66,1,L,200,,0.377,RightResponse,incorrect,True,4.0
67,1,L,100,,0.323,RightResponse,incorrect,False,3.0
