trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,isSaccade,blankDurationInFrameCount
0,0,L,400,,0.214,invalid,invalid,True,1.0
1,0,R,0,,0.299,RightResponse,correct,True,1.0
2,0,R,0,,0.222,LeftResponse,incorrect,True,1.0
3,0,R,400,,0.397,RightResponse,correct,True,1.0
4,0,L,200,,0.293,NoResponse,incorrect,True,1.0
5,0,R,100,,0.392,RightResponse,correct,True,1.0
6,0,R,100,,0.391,LeftResponse,incorrect,True,1.0
7,0,R,50,,0.33,RightResponse,correct,True,1.0
8,0,L,0,,0.215,LeftResponse,correct,True,4.0
9,0,L,50,,0.242,LeftResponse,correct,True,1.0
10,0,L,200,,0.204,RightResponse,incorrect,True,4.0
11,0,R,100,,0.336,LeftResponse,incorrect,True,4.0
12,0,R,200,,0.252,RightResponse,correct,True,7.0
13,0,L,400,,0.206,LeftResponse,correct,True,1.0
14,0,R,50,,0.336,NoResponse,incorrect,True,1.0
15,0,R,0,,0.255,LeftResponse,incorrect,True,3.0
16,0,L,100,,0.279,LeftResponse,correct,True,7.0
17,0,L,100,,0.275,RightResponse,incorrect,True,6.0
18,0,L,100,,0.281,LeftResponse,correct,True,9.0
19,0,R,200,,0.266,LeftResponse,incorrect,True,6.0
20,0,L,50,,0.215,invalid,invalid,True,4.0
21,0,L,200,,0.228,LeftResponse,correct,True,9.0
22,0,L,0,,0.327,LeftResponse,correct,True,6.0
23,0,R,400,,0.386,LeftResponse,incorrect,True,1.0
24,0,L,0,,0.21,LeftResponse,correct,True,5.0
25,0,L,400,,0.291,LeftResponse,correct,True,4.0
26,0,L,200,,0.301,LeftResponse,correct,True,8.0
27,0,R,100,,0.23,LeftResponse,incorrect,True,8.0
28,0,L,0,,0.38,NoResponse,incorrect,True,4.0
29,0,R,200,,0.321,LeftResponse,incorrect,True,7.0
30,0,R,200,,0.379,LeftResponse,incorrect,True,10.0
31,0,R,400,,0.282,RightResponse,correct,True,3.0
32,0,L,100,,0.311,RightResponse,incorrect,True,11.0
33,0,R,400,,0.296,RightResponse,correct,True,2.0
34,0,R,0,,0.384,RightResponse,correct,True,7.0
35,0,L,50,,0.297,RightResponse,incorrect,True,4.0
36,0,R,50,,0.334,RightResponse,correct,True,7.0
37,0,L,50,,0.389,RightResponse,incorrect,True,6.0
38,0,R,50,,0.208,LeftResponse,incorrect,True,9.0
39,0,L,400,,0.328,RightResponse,incorrect,True,1.0
40,1,R,400,,0.281,RightResponse,correct,True,4.0
41,1,L,400,,0.381,LeftResponse,correct,True,3.0
42,1,R,100,,0.338,RightResponse,correct,True,14.0
