trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,isSaccade,blankDurationInFrameCount
0,0,L,100,,0.305,LeftResponse,correct,True,4.0
1,0,R,200,,0.397,RightResponse,correct,True,4.0
2,0,L,200,,0.343,RightResponse,incorrect,True,3.0
3,0,L,100,,0.214,RightResponse,incorrect,True,3.0
4,0,R,100,,0.212,LeftResponse,incorrect,True,6.0
5,0,R,400,,0.245,RightResponse,correct,True,4.0
6,0,L,100,,0.311,RightResponse,incorrect,True,9.0
7,0,R,50,,0.391,RightResponse,correct,True,4.0
8,0,L,50,,0.399,RightResponse,incorrect,True,3.0
9,0,R,0,,0.376,LeftResponse,incorrect,True,4.0
10,0,L,200,,0.37,RightResponse,incorrect,True,6.0
11,0,R,0,,0.365,LeftResponse,incorrect,True,7.0
12,0,L,400,,0.309,RightResponse,incorrect,True,3.0
13,0,R,100,,0.392,RightResponse,correct,True,12.0
14,0,L,50,,0.332,RightResponse,incorrect,True,6.0
15,0,R,200,,0.336,RightResponse,correct,True,9.0
16,0,L,0,,0.311,RightResponse,incorrect,True,10.0
17,0,R,50,,0.292,LeftResponse,incorrect,True,9.0
18,0,R,400,,0.311,LeftResponse,incorrect,True,6.0
19,0,L,0,,0.375,RightResponse,incorrect,True,13.0
20,0,R,0,,0.318,RightResponse,correct,True,16.0
21,0,L,200,,0.365,LeftResponse,correct,True,8.0
22,0,R,50,,0.394,LeftResponse,incorrect,True,12.0
23,0,L,200,,0.244,LeftResponse,correct,True,7.0
24,0,L,50,,0.371,LeftResponse,correct,True,15.0
25,0,L,0,,0.372,LeftResponse,correct,True,15.0
26,0,L,400,,0.393,RightResponse,incorrect,True,9.0
27,0,R,0,,0.345,LeftResponse,incorrect,True,14.0
28,0,R,200,,0.302,LeftResponse,incorrect,True,6.0
29,0,L,50,,0.332,LeftResponse,correct,True,14.0
30,0,L,400,,0.206,LeftResponse,correct,True,12.0
31,0,R,400,,0.374,LeftResponse,incorrect,True,11.0
32,0,L,0,,0.306,LeftResponse,correct,True,17.0
33,0,R,50,,0.302,LeftResponse,incorrect,True,13.0
34,0,R,200,,0.337,LeftResponse,incorrect,True,9.0
35,0,R,100,,0.205,LeftResponse,incorrect,True,11.0
36,0,L,100,,0.22,LeftResponse,correct,True,14.0
37,0,R,100,,0.271,RightResponse,correct,True,13.0
38,0,R,400,,0.3,LeftResponse,incorrect,True,14.0
39,0,L,400,,0.271,RightResponse,incorrect,True,17.0
40,1,L,0,,0.287,LeftResponse,correct,True,16.0
41,1,L,100,,0.348,RightResponse,incorrect,True,12.0
42,1,L,200,,0.354,LeftResponse,correct,True,12.0
