trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,isSaccade,blankDurationInFrameCount
0,0,L,200,,0.211,LeftResponse,correct,True,17.0
1,0,L,0,,0.393,RightResponse,incorrect,True,17.0
2,0,R,100,,0.331,RightResponse,correct,True,17.0
3,0,L,200,,0.384,RightResponse,incorrect,True,16.0
4,0,R,200,,0.205,RightResponse,correct,True,19.0
5,0,R,100,,0.261,LeftResponse,incorrect,True,16.0
6,0,R,50,,0.26,RightResponse,correct,True,17.0
7,0,L,0,,0.318,RightResponse,incorrect,True,20.0
8,0,R,100,,0.29,RightResponse,correct,True,19.0
9,0,R,400,,0.271,RightResponse,correct,True,17.0
10,0,L,100,,0.358,RightResponse,incorrect,True,18.0
11,0,L,400,,0.31,RightResponse,incorrect,True,16.0
12,0,L,50,,0.297,RightResponse,incorrect,True,16.0
13,0,L,0,,0.398,RightResponse,incorrect,True,23.0
14,0,L,100,,0.276,RightResponse,incorrect,True,21.0
15,0,R,0,,0.348,RightResponse,correct,True,26.0
16,0,L,100,,0.269,LeftResponse,correct,True,24.0
17,0,R,100,,0.369,RightResponse,correct,True,23.0
18,0,L,50,,0.307,RightResponse,incorrect,True,19.0
19,0,R,0,,0.31,RightResponse,correct,True,25.0
20,0,R,50,,0.203,RightResponse,correct,True,22.0
21,0,L,400,,0.293,LeftResponse,correct,True,19.0
22,0,R,400,,0.207,LeftResponse,incorrect,True,18.0
23,0,R,0,,0.36,RightResponse,correct,True,24.0
24,0,R,50,,0.25,RightResponse,correct,True,21.0
25,0,R,200,,0.343,RightResponse,correct,True,18.0
26,0,R,0,,0.242,RightResponse,correct,True,23.0
27,0,L,400,,0.315,LeftResponse,correct,True,21.0
28,0,L,200,,0.209,LeftResponse,correct,True,17.0
29,0,L,0,,0.244,LeftResponse,correct,True,22.0
30,0,L,50,,0.36,LeftResponse,correct,True,20.0
31,0,R,400,,0.224,RightResponse,correct,True,20.0
32,0,L,200,,0.32,LeftResponse,correct,True,16.0
33,0,R,50,,0.244,RightResponse,correct,True,19.0
34,0,L,400,,0.251,LeftResponse,correct,True,19.0
35,0,R,200,,0.388,RightResponse,correct,True,15.0
36,0,L,50,,0.383,LeftResponse,correct,True,18.0
37,0,R,200,,0.22,RightResponse,correct,True,14.0
38,0,L,100,,0.395,LeftResponse,correct,True,22.0
39,0,R,400,,0.385,LeftResponse,incorrect,True,18.0
40,1,L,50,,0.305,LeftResponse,correct,True,17.0
41,1,R,0,,0.341,RightResponse,correct,True,21.0
42,1,L,200,,0.245,LeftResponse,correct,True,13.0
43,1,L,100,,0.209,LeftResponse,correct,True,21.0
44,1,R,200,,0.332,RightResponse,correct,True,12.0
45,1,L,50,,0.39,LeftResponse,correct,True,16.0
46,1,R,100,,0.33,RightResponse,correct,True,20.0
47,1,R,0,,0.263,RightResponse,correct,True,20.0
48,1,L,400,,0.395,LeftResponse,correct,True,21.0
49,1,R,100,,0.368,RightResponse,correct,True,19.0
50,1,R,200,,0.208,RightResponse,correct,True,11.0
51,1,L,100,,0.295,RightResponse,incorrect,True,18.0
52,1,L,400,,0.281,RightResponse,incorrect,True,20.0
53,1,R,100,,0.357,RightResponse,correct,True,21.0
54,1,R,50,,0.24,RightResponse,correct,True,15.0
55,1,R,50,,0.375,RightResponse,correct,True,14.0
56,1,L,200,,0.35,RightResponse,incorrect,True,10.0
57,1,L,0,,0.258,RightResponse,incorrect,True,19.0
58,1,R,100,,0.328,RightResponse,correct,True,20.0
59,1,R,200,,0.291,RightResponse,correct,True,13.0
60,1,L,50,,0.252,RightResponse,incorrect,True,13.0
61,1,L,400,,0.379,LeftResponse,correct,True,23.0
62,1,L,100,,0.352,LeftResponse,correct,True,19.0
63,1,L,0,,0.291,RightResponse,incorrect,True,22.0
64,1,R,200,,0.313,RightResponse,correct,True,12.0
65,1,R,50,,0.207,RightResponse,correct,True,16.0
66,1,R,400,,0.281,RightResponse,correct,True,22.0
67,1,L,50,,0.31,RightResponse,incorrect,True,15.0
68,1,R,400,,0.309,RightResponse,correct,True,21.0
69,1,L,0,,0.234,LeftResponse,correct,True,25.0
70,1,L,200,,0.386,RightResponse,incorrect,True,11.0
71,1,L,0,,0.281,LeftResponse,correct,True,24.0
72,1,L,400,,0.332,RightResponse,incorrect,True,20.0
73,1,R,400,,0.239,RightResponse,correct,True,23.0
74,1,L,200,,0.349,RightResponse,incorrect,True,14.0
75,1,L,100,,0.216,RightResponse,incorrect,True,18.0
76,1,R,0,,0.336,RightResponse,correct,True,23.0
77,1,R,400,,0.303,RightResponse,correct,True,22.0
78,1,R,0,,0.222,RightResponse,correct,True,22.0
79,1,R,50,,0.376,RightResponse,correct,True,18.0
80,2,L,200,,0.297,RightResponse,incorrect,True,17.0
81,2,R,400,,0.233,RightResponse,correct,True,21.0
82,2,L,50,,0.248,LeftResponse,correct,True,17.0
83,2,L,50,,0.356,RightResponse,incorrect,True,16.0
84,2,L,200,,0.289,LeftResponse,correct,True,20.0
85,2,L,200,,0.293,LeftResponse,correct,True,19.0
86,2,R,100,,0.335,LeftResponse,incorrect,True,21.0
87,2,R,0,,0.288,RightResponse,correct,True,21.0
88,2,R,100,,0.327,RightResponse,correct,True,24.0
89,2,R,400,,0.313,RightResponse,correct,True,20.0
90,2,L,0,,0.345,RightResponse,incorrect,True,20.0
91,2,R,200,,0.272,RightResponse,correct,True,18.0
92,2,R,400,,0.369,RightResponse,correct,True,19.0
93,2,R,50,,0.351,RightResponse,correct,True,19.0
94,2,L,0,,0.206,LeftResponse,correct,True,23.0
95,2,L,200,,0.237,LeftResponse,correct,True,17.0
96,2,L,50,,0.315,LeftResponse,correct,True,18.0
97,2,L,100,,0.246,RightResponse,incorrect,True,23.0
98,2,R,0,,0.215,LeftResponse,incorrect,True,22.0
99,2,R,50,,0.327,RightResponse,correct,True,17.0
100,2,L,100,,0.383,LeftResponse,correct,True,26.0
101,2,R,200,,0.251,RightResponse,correct,True,16.0
102,2,R,100,,0.293,RightResponse,correct,True,25.0
103,2,L,400,,0.297,LeftResponse,correct,True,18.0
104,2,L,400,,0.264,LeftResponse,correct,True,17.0
105,2,R,400,,0.295,RightResponse,correct,True,16.0
106,2,R,50,,0.281,LeftResponse,incorrect,True,16.0
107,2,R,50,,0.342,RightResponse,correct,True,19.0
108,2,L,50,,0.332,LeftResponse,correct,True,18.0
109,2,L,400,,0.324,RightResponse,incorrect,True,15.0
110,2,L,100,,0.317,LeftResponse,correct,True,24.0
111,2,L,400,,0.364,LeftResponse,correct,True,18.0
